tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
1498,64,3,negative_cash,-1.2199894978845123,0.0,0.0,4.0,0.75,0.6,0.0,-5.35,0,3,1,4,1483,0,-54.71998949788451,107.0,26.75
1500,84,5,negative_cash,-27.71281968456934,0.0,20.855881513707534,1.0,0.5,0.6,62.2993656989817,-85.25524721268924,2,2,1,1,1464,1,3151.9541620215896,0.0,0.0
1509,67,6,negative_cash,-32.76229558165038,215.11169755906727,150.0,1.0,2.25,5.3999999999999995,105.0,-48.53830244093273,15,9,9,1,1495,1,24.38256904610978,3960.5,1004.4840593740347
1519,72,2,negative_cash,-1.5226138436063126,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1515,0,-85.37261384360632,77.0,19.25
1538,86,5,negative_cash,-15.316444853470571,0.0,21.018232095559153,1.0,0.5,0.6,60.55748601438634,-83.67571810994549,2,2,1,1,1501,1,3202.482692958498,0.0,0.0
1553,75,1,negative_cash,-2.555520980468873,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1543,0,-70.30552098046887,77.0,19.25
1582,92,5,negative_cash,-62.81933382541595,0.0,19.442350702395238,1.0,0.5,0.6,57.73231954051219,-79.27467024290743,2,2,1,1,1544,1,3003.710002936001,0.0,0.0
1590,77,1,negative_cash,-2.040417241910841,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1570,0,-16.290417241910824,57.0,14.25
1600,76,1,negative_cash,-1.6517170972247004,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,1588,0,-40.701717097224694,57.0,14.25
1623,93,5,negative_cash,-19.533295612806413,0.0,20.896949494473432,1.0,0.5,0.6,60.14892254437638,-83.14587203884982,2,2,1,1,1583,1,3523.929015108753,0.0,0.0
1655,88,3,negative_cash,-9.778872358140298,0.0,10.915287617362257,3.0,0.75,0.6,7.512006624911467,-22.777294242273722,1,3,1,3,1639,1,59.41285580339181,409.55470669476364,129.00783119793172
1665,100,5,negative_cash,-48.17813523592392,0.0,18.121612716005977,1.0,0.5,0.6,56.95523548664318,-77.17684820264915,2,2,1,1,1625,1,3013.016032387406,0.0,0.0
